Generated by Ultimate_GMS2_Decompiler_v5.csx

This is a List of All Asset IDs
as the Decompiler often has to use an Asset's ID
because it can only GUESS what is an Asset and what is just a Number

Assets Found:

Sprites: 2864
Objects: 844
Rooms: 778
Sounds: 151
Backgrounds: 136
Shaders: 8
Animation Curves: 0
Sequences: 0
Timelines: 0
Paths: 0
Fonts: 3


--------------------- SPRITES ---------------------
0 - spr_plug
1 - spr_cheeseblob
2 - spr_entrancepillarsecret
3 - bg_mrstickarena
4 - spr_cheesemaker
5 - spr_railh2right
6 - spr_railh2left
7 - spr_gerome_idle1
8 - spr_pizzaslug_rage
9 - sprite10293
10 - spr_railh2
11 - spr_tv_golfN
12 - spr_railhright
13 - spr_switchblock_gosad
14 - spr_railhleft
15 - spr_railh
16 - spr_spitcheese_rage
17 - spr_ghost_cart
18 - spr_ufogrounded_bulletdestroy
19 - spr_kentukybomber_attack
20 - spr_stupidratprop2
21 - spr_player_ratmountswallow
22 - spr_noisey_walk
23 - spr_noisesatellitestun
24 - spr_noisesatellitedead
25 - spr_noisesatellite
26 - spr_ratblock4_dead
27 - spr_kingghost_pinball3
28 - spr_noise_throwbomb
29 - spr_wartimer_font2
30 - spr_player_ratmountmushroombounce
31 - spr_tv_cheesepepN
32 - spr_goop
33 - spr_tv_squishedN
34 - spr_monstershroom_idle
35 - sprite10332577
36 - spr_electricwall
37 - spr_player_lungeattack
38 - spr_pepperman_jump
39 - spr_mild
40 - spr_citycarnivalprops
41 - spr_snickcollectible1
42 - spr_snickcollectible2
43 - spr_snickcollectible3
44 - spr_mouthhitbox
45 - spr_player_kungfuair1
46 - spr_hungrypillar_happy
47 - spr_hungrypillar_angry
48 - spr_patroller_idle
49 - spr_soldier_idleend
50 - spr_hungrypillar_mouth
51 - spr_hungrypillar
52 - spr_hungrypillar_dead
53 - spr_flush_skulltransition
54 - spr_cigar_land
55 - spr_cigar_fall
56 - spr_cigar_turn
57 - spr_player_ratmountfall
58 - spr_cigar_walk
59 - spr_cigar_idle
60 - spr_sausageman_palette
61 - spr_sausagemannocigar_grabbed
62 - spr_sausageman_shot
63 - spr_sausageman_grabbed
64 - spr_sausagemannocigar_recovery
65 - spr_sausageman_recovery
66 - spr_sausagemannocigar_rolling
67 - spr_sausageman_rolling
68 - spr_sausagemannocigar_stun
69 - spr_sausageman_stun
